plu,nombre,marca,categoria,precio_actual,precio_regular,precio_sin_imp,precio_x_unidad,fecha
79720,Vino Cabernet Sauvignon NAVARRO CORREAS Bot 750 CC,Navarro Correas,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,6512.33,9768.0,8072.73,13024.0,20260219
231464,Vino Malbec Reserva Navarro Cor Bot 750 Cmq,Navarro Correas,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,8585.1,12877.0,10642.15,17169.33,20260219
13644,Vino Malbec NAVARRO CORREAS 750cc,Navarro Correas,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,6512.33,9768.0,8072.73,13024.0,20260219
44943,NAVARRO CORREAS Nature 750 Ml ,Navarro Correas,Champañas > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,8833.78,13250.0,10950.41,17666.66,20260219
231463,Vino Cabernet Sauvignon Navarro Correa Reserv Bot 750c,Navarro Correas,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,8585.1,12877.0,10642.15,17169.33,20260219
259699,Champaña Dulce Navarro Correas Bot 750 Ml,Navarro Correas,Champañas > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,8833.78,13250.0,10950.41,17666.66,20260219
197373,Fresas Fizz . La Farruca Bot 710 Cmq,La Farruca,Sidras Y Bebidas Fizz > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,4124.25,5499.0,4544.63,7745.07,20260219
197433,Sidra Et.Blanca LA FARRUCA Bot 710 CC,La Farruca,Sidras Y Bebidas Fizz > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,2925.0,3900.0,3223.14,5492.95,20260219
197376,Anana Fizz . La Farruca Bot 710 Cmq,La Farruca,Sidras Y Bebidas Fizz > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,4124.25,5499.0,4544.63,7745.07,20260219
197377,Sidra Et. Negra LA FARRUCA Bot 710 Cmq,La Farruca,Sidras Y Bebidas Fizz > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,3336.75,4449.0,3676.86,6266.19,20260219
197374,Clerico Fizz . La Farruca Bot 710 Cmq,La Farruca,Sidras Y Bebidas Fizz > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,4124.25,5499.0,4544.63,7745.07,20260219
197375,Durazno Fizz . La Farruca Bot 710 Cmq,La Farruca,Sidras Y Bebidas Fizz > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,4124.25,5499.0,4544.63,7745.07,20260219
258108,Champaña Dulce MUMM Swett Sparkling Bot 750 Ml,Mumm,Champañas > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,7657.05,11485.0,9491.74,15313.33,20260219
187428,Champaña Demi Sec Cuvee MUMM Bot 750 Cmq,Mumm,Champañas > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,7657.05,11485.0,9491.74,15313.33,20260219
186471,Champaña E/B Reserve Cuvee MUMM Bot 750 Cmq,Mumm,Champañas > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,7657.05,11485.0,9491.74,15313.33,20260219
187713,Champaña Brut Rose Reserve Cuvee MUMM Bot 750 Cmq,Mumm,Champañas > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,7657.05,11485.0,9491.74,15313.33,20260219
4707,Vino Torrontés ETCHART PRIVADO 750cc,Etchart Privado,Vinos Blancos > Vinos > Bebidas Con Alcohol > Bebidas,3514.18,5271.0,4356.2,7028.0,20260219
3952,Aperitivo Cynar Botella 750 CC,Cynar,Bebidas Con Alcohol > Bebidas > Aperitivos > Aperitivo Hierbas,8849.25,11799.0,9751.24,15732.0,20260219
466957,Aperitivo Cynar Botella 750 CC,Cynar,Bebidas Con Alcohol > Bebidas > Aperitivos > Aperitivo Hierbas,9899.25,13199.0,10908.26,17598.66,20260219
208270,Vino Cab.Sauv Reserve Cafayate Bot 750 Cmq,Cafayate,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,6370.99,9556.0,7897.52,12741.33,20260219
208273,Vino Malbec Reserve Cafayate Bot 750 Cmq,Cafayate,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,6370.99,9556.0,7897.52,12741.33,20260219
230931,Espumante CALLIA Tardío 750 Ml,Callia,Champañas > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,4733.57,7100.0,5867.77,9466.66,20260219
209036,Vino F.Tinto Grand Vin Fabre Montm Bot 750 Cmq,Fabre Montmayou,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,46412.32,69615.0,57533.06,92820.0,20260219
164951,Vino Cabernet Sauvignon PHEBUS Bot 750 CC,Phebus,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,7560.38,11340.0,9371.9,15120.0,20260219
286026,Vino Dulce Natural . Finca Las M Bot 750 Ml,Finca Las Moras,Vinos Blancos > Vinos > Bebidas Con Alcohol > Bebidas,3491.51,5237.0,4328.1,6982.66,20260219
141628,Vino Syrah Finca Las Moras Bot 750 Cmq,Finca Las Moras,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,3493.51,5240.0,4330.58,6986.66,20260219
204844,Vino F.Tinto Centenario Perdriel Bot 750 Cmq,Perdriel,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,26549.33,39822.0,32910.74,53096.0,20260219
281978,Vino Cabernet Sauvignon PERDRIEL Bot 750 Ml,Perdriel,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,11693.25,17539.0,14495.04,23385.33,20260219
263045,Vino Bonarda . Lorenza Bot 750 Ml,Lorenza,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,9235.13,13852.0,11447.93,18469.33,20260219
164939,Vino Malbec PHEBUS Bot 750 CC,Phebus,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,7560.38,11340.0,9371.9,15120.0,20260219
291164,FINCA SOPHENIA  Chardonnay   750 Cc,Finca Sophenia,Vinos Blancos > Vinos > Bebidas Con Alcohol > Bebidas,13334.0,20000.0,16528.93,26666.66,20260219
250221,Vino Chardon Chardonnay San Telmo Bot 750 Cmq,San Telmo,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,3243.5,4865.0,4020.66,6486.66,20260219
165280,Vino Chardonnay ALTOSUR Bot 750 CC,Altosur,Vinos Blancos > Vinos > Bebidas Con Alcohol > Bebidas,9333.8,14000.0,11570.25,18666.66,20260219
208604,Vino Fino Tinto Synthesis Bot 750 Cmq,Synthesis,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,30001.5,45000.0,37190.08,60000.0,20260219
63783,Sidra Etiqueta Blanc DEL VALLE Bot 710 Cmq,Del Valle,Sidras Y Bebidas Fizz > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,3281.25,4375.0,3615.7,6161.97,20260219
63668,Sidra Et.Blanca REINA DE ALCANTARA Bot 720 Cmq,Reina De Alcantara,Sidras Y Bebidas Fizz > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,2325.0,3100.0,2561.98,4305.55,20260219
291166,Vino Cab.Sauv . Synthesis Bot 750 Ml,Sophenia,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,30001.5,45000.0,37190.08,60000.0,20260219
286025,Vino F.Rosad Dulce Finca Las M Bot 750 Ml,Finca Las Moras,Vinos Rosados > Vinos > Bebidas Con Alcohol > Bebidas,3493.51,5240.0,4330.58,6986.66,20260219
175911,Vino Sauvignon Blanc F.D.CAVE Reserva Bot 750 CC,Fond De Cave,Vinos Blancos > Vinos > Bebidas Con Alcohol > Bebidas,9041.79,13562.0,11208.26,18082.66,20260219
160048,Vino Cabernet Sauvignon TRIVENTO Roble Bot 750 CC,Trivento,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,6160.31,9240.0,7636.36,12320.0,20260219
3942,Vino Chardonnay-Chenin Blanco RINCON FAMOSO 750c,Rincon Famoso,Vinos Blancos > Vinos > Bebidas Con Alcohol > Bebidas,3600.18,5400.0,4462.81,7200.0,20260219
